epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,28531.5,1.08257,0.43412,0.97118,0.99235,0.98892,0.9936,0.73715,1.0134,0.34186,0.96738,0.007921,0.007921,0.007921
107,28800.4,1.08252,0.43327,0.97232,0.99264,0.98886,0.99356,0.73736,1.01213,0.34166,0.967,0.0079012,0.0079012,0.0079012
108,29069.4,1.07893,0.43145,0.96991,0.99262,0.98886,0.9936,0.73764,1.01137,0.34125,0.96674,0.0078814,0.0078814,0.0078814
109,29338.2,1.08237,0.43388,0.97176,0.99263,0.98886,0.99356,0.73804,1.01043,0.34143,0.9663,0.0078616,0.0078616,0.0078616
110,29606.9,1.0795,0.4324,0.97,0.99257,0.98894,0.99356,0.7379,1.00927,0.3411,0.96601,0.0078418,0.0078418,0.0078418
111,29875.6,1.0782,0.43248,0.96986,0.99257,0.98904,0.99361,0.73874,1.00786,0.34094,0.96559,0.007822,0.007822,0.007822
112,30144.5,1.08178,0.43341,0.97132,0.99284,0.98903,0.99365,0.73903,1.00658,0.34068,0.96532,0.0078022,0.0078022,0.0078022
113,30413.2,1.07705,0.43255,0.96975,0.99308,0.98832,0.99364,0.73925,1.0064,0.34063,0.96515,0.0077824,0.0077824,0.0077824
114,30681.8,1.08012,0.43337,0.97027,0.99332,0.98836,0.99365,0.73935,1.00549,0.3404,0.96494,0.0077626,0.0077626,0.0077626
115,30950.6,1.07756,0.43241,0.96988,0.99278,0.98886,0.99365,0.73987,1.0047,0.34041,0.96468,0.0077428,0.0077428,0.0077428
116,31219.8,1.0755,0.43261,0.96871,0.99255,0.98913,0.9937,0.7393,1.00345,0.3403,0.96435,0.007723,0.007723,0.007723
117,31488.9,1.07693,0.43114,0.97019,0.99268,0.98918,0.99365,0.7397,1.00277,0.33996,0.96418,0.0077032,0.0077032,0.0077032
118,31758,1.07052,0.42905,0.96677,0.99249,0.98913,0.99365,0.74019,1.00178,0.3395,0.96389,0.0076834,0.0076834,0.0076834
119,32027.1,1.07803,0.43213,0.96991,0.99326,0.98843,0.99363,0.73994,1.00146,0.33907,0.96367,0.0076636,0.0076636,0.0076636
120,32296,1.07485,0.43146,0.96829,0.99252,0.98903,0.99363,0.73996,1.00092,0.33881,0.96338,0.0076438,0.0076438,0.0076438
121,32565.3,1.07218,0.43029,0.96864,0.99251,0.98881,0.99364,0.74023,0.99964,0.33871,0.96314,0.007624,0.007624,0.007624
122,32834.2,1.07512,0.43,0.9685,0.99273,0.98888,0.99366,0.74037,0.99836,0.33832,0.96283,0.0076042,0.0076042,0.0076042
123,33103.3,1.06981,0.42909,0.9683,0.99336,0.98827,0.99367,0.74071,0.99759,0.33814,0.96256,0.0075844,0.0075844,0.0075844
124,33372.3,1.0705,0.42903,0.96683,0.99318,0.98816,0.99366,0.74167,0.99673,0.33791,0.96236,0.0075646,0.0075646,0.0075646
125,33641.3,1.06908,0.42834,0.9666,0.9931,0.98812,0.99368,0.74172,0.99598,0.3378,0.9622,0.0075448,0.0075448,0.0075448
126,33909.7,1.07088,0.43056,0.96755,0.99299,0.98825,0.99372,0.74195,0.9949,0.33745,0.96197,0.007525,0.007525,0.007525
127,34178.4,1.0695,0.42885,0.96842,0.99289,0.98845,0.99372,0.74239,0.99416,0.33727,0.96164,0.0075052,0.0075052,0.0075052
128,34446.7,1.06786,0.42665,0.96639,0.99299,0.98825,0.9937,0.74286,0.99335,0.33688,0.96138,0.0074854,0.0074854,0.0074854
129,34714.9,1.06533,0.4281,0.96542,0.99291,0.98832,0.9937,0.74281,0.99274,0.33703,0.96118,0.0074656,0.0074656,0.0074656
130,34983.4,1.0674,0.4276,0.96748,0.99289,0.98842,0.99379,0.74287,0.99227,0.33702,0.96096,0.0074458,0.0074458,0.0074458
131,35251.9,1.06423,0.4286,0.96585,0.99271,0.98849,0.99374,0.74309,0.99184,0.33691,0.96079,0.007426,0.007426,0.007426
132,35520.2,1.06712,0.42814,0.9661,0.99282,0.98859,0.99378,0.74386,0.99132,0.33678,0.96076,0.0074062,0.0074062,0.0074062
133,35789.1,1.06318,0.42568,0.96438,0.99301,0.98854,0.9938,0.74408,0.99066,0.33662,0.96059,0.0073864,0.0073864,0.0073864
134,36058.2,1.06544,0.42671,0.96748,0.99298,0.98859,0.99379,0.74446,0.98977,0.33622,0.96032,0.0073666,0.0073666,0.0073666
135,36327.2,1.06611,0.42742,0.96785,0.9931,0.9887,0.9938,0.74533,0.98929,0.33627,0.9601,0.0073468,0.0073468,0.0073468
136,36596,1.06075,0.42673,0.96628,0.993,0.98865,0.9938,0.745,0.98862,0.33594,0.95991,0.007327,0.007327,0.007327
